pub_date|subcategory|title|tags_list|url
2023-05-11|Speeches & testimony|ISDA AGM 2023: Eric Litvack Chairman Remarks|CDM,Clearing,Collateral,Fundamental Review of the Trading Book (FRTB),ISDA SIMM,Liquidity Risk,Risk and Capital|https://www.isda.org/2023/05/11/isda-agm-2023-eric-litvack-chairman-remarks/
2023-05-11|Speeches & testimony|ISDA AGM 2023: Day 2 Scott O’Malia Welcoming Remarks|Crypto Assets,Digital Assets,Documentation,Energy,Environmental Social and Governance (ESG),ISDA SIMM,Netting,Sustainable Finance|https://www.isda.org/2023/05/11/isda-agm-2023-day-2-scott-omalia-welcoming-remarks/
2023-05-10|Speeches & testimony|ISDA AGM 2023: Day 1 Scott O’Malia Opening Remarks|Carbon,Common Domain Model (CDM),Environmental Social and Governance (ESG),ISDA Create,ISDA SIMM,LIBOR,MyLibrary,Perun,Voluntary Carbon Credits (VCCs),Voluntary Carbon Markets (VCMs)|https://www.isda.org/2023/05/10/isda-agm-2023-day-1-scott-omalia-opening-remarks/
2023-05-05|ISDA SIMM|ISDA publishes ISDA SIMM™ Methodology, version 2.5A|Initial Margin,ISDA SIMM|https://www.isda.org/2023/05/05/isda-publishes-isda-simm-methodology-version-2-5a/
2023-05-02|ISDA SIMM|ISDA SIMM Crowdsourcing Facility|Initial Margin,Margin,SIMM|https://www.isda.org/2023/05/02/isda-simm-crowdsourcing-facility/
2023-04-24|derivatiViews|Responding to Market Stress|Clearing,Collateral,Common Domain Model (CDM),ISDA SIMM,Liquidity Risk,Margin,US Treasury|https://www.isda.org/2023/04/24/responding-to-market-stress/
2023-03-09|ISDA SIMM|ISDA Publishes Updated ISDA SIMM® Governance Framework|Governance,Margin,SIMM|https://www.isda.org/2023/03/09/isda-publishes-updated-isda-simm-governance-framework/
2022-09-26|derivatiViews|Phase Six IM: The End of the Beginning|Initial Margin,ISDA Create,ISDA SIMM,Margin|https://www.isda.org/2022/09/26/phase-six-im-the-end-of-the-beginning/
2022-09-07|ISDA SIMM|ISDA Publishes ISDA SIMM v2.5|Initial Margin,ISDA SIMM,SIMM|https://www.isda.org/2022/09/07/isda-publishes-isda-simm-v2-5/
2022-08-02|derivatiViews|SIMM Consistency is Vital|Initial Margin,ISDA SIMM,Margin,UK|https://www.isda.org/2022/08/02/simm-consistency-is-vital/
2021-09-09|ISDA SIMM|ISDA Publishes ISDA SIMM v2.4|Initial Margin|https://www.isda.org/2021/09/09/isda-publishes-isda-simm-v2-4/
2021-04-08|ISDA SIMM|ISDA SIMM Licensing FAQ|Initial Margin,ISDA SIMM,SIMM|https://www.isda.org/2021/04/08/isda-simm-licensing-faq/
2020-09-03|ISDA SIMM|ISDA SIMM™ Phase 5 and 6 License Agreement|Initial Margin|https://www.isda.org/2020/09/03/isda-simm-phase-5-license-agreement/
2020-09-01|ISDA SIMM|ISDA Publishes ISDA SIMM v2.3|Initial Margin,ISDA SIMM|https://www.isda.org/2020/09/01/isda-publishes-isda-simm-v2-3/
2019-09-03|ISDA SIMM|ISDA Publishes ISDA SIMM™ v2.2|Documentation,Initial Margin,Margin,SIMM|https://www.isda.org/2019/09/03/isda-publishes-isda-simm-v2-2/
2019-05-17|ISDA SIMM|ISDA Letter to ESAs on IM Model Requirements|Initial Margin|https://www.isda.org/2019/05/17/isda-letter-to-esas-on-im-model-requirements/
2018-08-27|ISDA SIMM|ISDA Publishes ISDA SIMM™ 2.1|Documentation,Margin,SIMM|https://www.isda.org/2018/08/27/isda-publishes-isda-simm-2-1/
2017-09-07|Press Releases|ISDA Launches Latest Version of ISDA SIMM Non-cleared Derivatives Margin Model|ISDA SIMM,Margin,Non-cleared Derivatives,SIMM|https://www.isda.org/2017/09/07/isda-launches-latest-version-of-isda-simm-non-cleared-derivatives-margin-model/
2017-09-06|ISDA SIMM|ISDA Publishes ISDA SIMM™ 2.0|Documentation,Margin,SIMM|https://www.isda.org/2017/09/06/isda-publishes-isda-simm-2-0/
2017-04-18|derivatiViews|Expanding ISDA SIMM Coverage|Margin,SIMM|https://www.isda.org/2017/04/18/expanding-isda-simm-coverage/
2017-03-08|ISDA SIMM|ISDA publishes draft of ISDA SIMM™ documents|Documentation,SIMM|https://www.isda.org/2017/03/08/isda-publishes-draft-of-isda-simmsup8482sup-documents/
